code,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth (annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs),Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
UGA,39.5,19.4,0.516,4.0,30.9,85.0,2068.0,5.0,7.3,139.0,2.3,16.0,10.0,2.3,90.9,17.4,6.0,4.0,-0.56,-0.6,-0.2,-0.3,-1.04,40.3,28.3,43.5,73.0,62.0,40.0,34.3,,48.17,,39.09,61.68,38.05,42.01,50.93,,49.02,41.4,62.64,60.57,39.2,38.23,18.37,39.0,220.919,53.0,28.590999999999998,549.295,38.9215,18.5623,19.151,6.99333,26.7,3.42904,135.407,11.84,0.476213,3.0,26.5125,70.1982,90.99799999999999,,,1.33871,55.0485,21.8762,0.49153,66.6667,16.4086,488.55,44.271,1.4807299999999999,97.6343,40.84,527.125,16.2197,11.0,0.649998,3.00794,0.742156,2.81773,77.5,23.0,50.0,26.0,10.3893995285034,8.6,2.13179,2.42395,1.3887399999999999,0.08,6.16,1,20.0
UKR,25.5,26.4,0.7509999999999999,4.31,52.5,353.0,8305.0,-9.9,6.1,469.0,5.9,173.0,15.0,8.9,45.0,42.8,3.0,3.0,-1.89,-0.5,-0.3,-0.71,-0.78,29.5,29.0,41.0,80.2,51.9,30.0,12.3,69.3,81.48,69.38,57.04,93.74,90.59,85.79,55.8,90.54,73.46,56.12,57.41,73.01,66.01,35.61,53.52,2.5,21.511999999999997,9.1,16.54,31.6961,97.7318,66.0196,95.9378,0.00385,100.0,4.48535,6.63139,4.36,0.511513,4.0,14.45,99.9743,92.7681,96.786,0.97825,2.58748,135.196,52.4818,0.7457600000000001,65.0,19.0517,577.0169999999999,62.941,2.67244,73.8722,78.76,980.445,4.3939,26.0,0.6032109999999999,3.096,0.63243,4.68893,16.7,7.0,69.2,30.0,9.27299976348877,6.4,2.4085799999999997,0.34542399999999995,2.13654,1.5,14.69,8,10.0
URY,41.6,36.1,0.804,6.34,64.2,74.9,21527.0,1.5,9.2,1748.0,,,16.0,8.2,68.6,32.4,1.0,1.0,1.06,0.4,0.7,0.59,1.29,67.0,71.6,69.3,78.0,69.2,30.0,20.2,79.4,87.13,78.88,72.17,95.51,98.46,94.62,59.94,87.62,82.83,70.41,74.67,94.75,78.9,66.88,48.16,2.5,23.828000000000003,9.2,8.939,39.3406,99.2491,99.6164,95.6749,0.56162,100.0,6.02886,1.6827,8.42,0.940779,4.0,17.4625,98.5239,97.7591,111.648,1.1370200000000001,2.2657599999999998,148.569,66.4,0.71186,90.625,21.9961,356.538,64.977,3.4226300000000003,22.869,58.85,489.906,8.326310000000001,40.0,0.950233,3.66132,0.939364,4.71253,22.9,11.0,89.5,70.0,78.9073028564453,2.2918,2.01041,2.18805,3.10704,0.28,12.08,2,80.0
USA,45.0,20.7,0.924,6.99,76.0,18569.1,57436.0,2.4,16.8,9536.0,5.0,2729.0,17.0,4.9,56.5,38.1,2.0,1.0,0.3,1.6,1.6,1.64,1.38,76.9,71.9,79.3,65.1,75.7,80.0,19.4,84.78,90.85,84.33,79.16,97.73,99.4,95.94,70.34,91.87,89.6,71.97,83.89,92.15,86.0,61.49,76.98,2.5,29.634,6.5,1.89,24.7683,99.2004,98.7012,99.9696,0.0,100.0,6.24076,0.165685,4.88,0.9343600000000001,3.0,13.5975,,97.1951,97.1848,1.0104,2.32856,122.876,76.1767,0.89831,91.0,23.3246,301.527,72.551,2.2629099999999998,19.113,92.57,385.85900000000004,10.0718,33.0,0.9282100000000001,3.7844,0.950258,4.69806,6.2,3.0,82.8,75.0,76.64630126953121,6.1,2.46083,2.25096,2.82313,1.86,15.06,357,20.0
UZB,36.8,29.1,0.71,6.42,43.1,205.7,6563.0,8.0,6.2,383.0,,,12.0,8.9,65.5,33.9,7.0,7.0,-0.28,-0.6,-1.3,-1.11,-1.16,35.3,24.2,48.7,91.0,51.5,10.0,16.0,59.55,82.18,55.87,40.6,90.6,90.57,86.25,61.31,92.1,50.26,50.83,30.3,33.85,66.48,34.48,27.57,6.3,27.828000000000003,24.1,15.364,51.5002,91.4586,72.1115,100.0,0.0,100.0,,25.1298,2.99,0.436779,3.0,16.2051,99.9838,99.2317,93.0371,0.9871,2.4236,73.9833,46.7913,0.67797,15.0,17.9243,633.059,60.82899999999999,2.38963,107.947,0.0,1398.9,3.36816,1.0,0.245802,1.8922599999999998,0.36690900000000004,2.5018599999999998,25.5,5.0,83.5,22.0,,6.9,1.96117,1.49781,0.7392810000000001,,12.97,0,0.0
VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
VCT,,,0.723,,,1.2,11271.0,1.6,4.2,470.0,,,,19.3,72.7,30.1,1.0,1.0,0.9,0.3,0.3,0.43,0.72,69.2,51.5,36.7,72.7,67.7,40.0,13.0,,,,,92.41,,,,,,,80.0,,,,,6.0,42.615,16.6,9.496,75.4595,95.1452,92.9668,87.1843,,100.0,,6.9203600000000005,25.61,,,13.6876,,99.9171,106.92200000000001,0.9864299999999999,,102.742,55.5746,0.27119,,18.6945,527.316,55.086000000000006,,41.707,64.44,243.87,13.7237,36.0,,,,,8.9,,81.0,58.0,,,,,,,11.15,0,0.0
VEN,39.0,33.6,0.7609999999999999,,43.1,427.0,13761.0,-5.7,3.2,579.0,,,14.0,6.9,57.3,37.7,6.0,5.0,-1.18,-1.4,-2.0,-2.26,-1.36,13.8,7.5,5.2,72.5,25.2,10.0,22.2,,,,,,,,,,,,,,,,,13.0,69.956,16.3,10.501,43.8877,97.4172,86.1856,94.9344,25.8891,99.6038,2.1009,0.902756,57.15,0.245351,5.0,26.3614,97.1271,89.5837,85.6535,1.07736,1.07844,87.4326,60.0,0.40678000000000003,64.095,22.3624,326.589,59.972,0.390719,38.9805,80.74,501.81300000000005,16.9919,8.0,0.326944,3.10451,0.164607,3.57366,36.5,17.0,81.4,18.0,49.1953010559082,7.3,2.565,3.33149,2.02742,0.41,11.5,5,10.0
VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8644,96.1226,96.85799999999999,,,,,,,,,,,98.7336,,,,,,,,,,,,,,9.49117,,,,,,,,,,,,,,,,,0,0.0
VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0219,99.9964,63.9276,97.5988,,100.0,,1.10563,52.64,,,14.5605,,,,,,,59.6083,,,20.2034,,,,36.4464,,,15.1816,,,,,,25.2,,79.7,,,,,,,,,0,0.0
VNM,34.8,40.3,0.6940000000000001,5.18,50.8,595.5,6429.0,6.7,5.7,334.0,,,,2.2,74.0,29.4,7.0,5.0,0.31,0.0,-0.4,0.07,-0.58,36.3,30.4,46.4,79.7,53.1,40.0,26.7,,79.28,,43.93,88.63,76.71,80.49,71.29,,63.22,57.22,68.11,56.42,59.47,43.02,16.79,10.7,17.993,21.6,18.816,64.2316,91.1918,39.6622,78.2374,5.00405,100.0,4.33895,42.6277,1.52,0.742477,2.0,27.2206,93.5204,99.4143,,,2.8233,127.52600000000001,46.5,0.69492,36.6667,20.172,422.01300000000003,61.836999999999996,1.7138799999999998,51.0354,33.06,554.762,14.1609,3.0,0.407092,2.42955,0.656153,4.67749,55.1,10.0,76.6,35.0,20.4859008789062,5.7,2.15461,1.16211,2.4222099999999998,0.22,9.65,0,0.0
VUT,,40.6,0.603,,,0.7,2631.0,-0.8,3.5,106.0,4.9,3.0,,5.4,78.5,26.8,2.0,2.0,0.71,-0.9,-0.3,0.49,0.01,47.1,75.4,67.9,97.0,69.5,40.0,0.0,,65.85,51.68,,83.95,69.8,38.13,71.52,75.31,50.92,23.63,56.87,87.02,47.74,,17.82,6.9,147.892,27.6,22.416,160.583,90.5043,32.0349,53.4683,1.89793,57.82,,190.396,2.13,0.9071239999999999,,21.9729,,99.0436,54.8188,1.0576,1.82971,80.8437,24.0,0.20339000000000002,72.0,14.8827,1063.37,39.029,1.61028,57.2247,58.45,973.8330000000001,3.81132,33.0,0.8870600000000001,3.71481,0.8157449999999999,4.4088199999999995,71.9,,58.2,43.0,,,1.50872,2.81251,3.7507699999999997,,8.94,0,0.0
WBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.36,,,,,,,,,,,,17.599,19.4,8.408,53.3619,87.6459,51.8889,95.9516,1.11513,100.0,,2.0199599999999998,0.6,,3.0,17.0577,96.9302,92.5554,83.8677,1.10085,,77.5082,61.1784,,,17.0061,553.95,59.118,,86.1029,,,0.0,,,,,,,6.0,64.6,,5.96000003814697,,,,,,11.08,1,10.0
WLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.24,,,,,,,,,,,,,,,,99.5593,99.3489,99.12200000000001,0.87802,,,,,,,,,,,,,,,,,,,,,,,,0.12179000000000001,,,,,,,,,,,,,,,,,0,0.0
WSM,,,0.713,,,1.1,5553.0,1.7,7.8,336.0,,,,7.2,55.1,38.7,2.0,2.0,1.2,0.6,-0.1,0.87,0.66,38.8,40.1,53.1,79.9,61.5,30.0,10.0,,,,,94.12,93.59,,,,,,76.97,,,,,3.2,32.179,17.3,6.722,78.1829,95.5143,82.491,96.6201,0.1,100.0,,64.4132,3.15,,,14.0638,98.9733,98.6422,84.2659,1.10346,,77.3904,29.4117,0.30508,,18.4965,592.701,48.335,,8.17773,58.45,444.31800000000004,6.5864199999999995,30.0,,,,,31.4,,37.7,,,4.2,,,,,13.18,0,0.0
YEM,37.9,22.8,0.452,3.25,23.9,69.2,2375.0,-28.1,6.0,144.0,,,,17.1,80.9,25.2,7.0,6.0,-2.96,-1.9,-1.5,-1.75,-1.59,16.6,21.2,17.9,,,,0.0,37.29,50.36,40.84,20.67,67.69,58.08,52.17,23.48,50.52,34.7,35.22,42.9,15.62,48.91,13.29,4.87,28.8,208.326,55.3,43.727,103.09899999999999,70.3589,41.6894,59.6827,30.0099,71.6423,1.18931,66.9765,6.67,0.07191499999999999,5.0,48.6608,,83.3168,51.0067,0.72721,0.420675,59.5741,24.5792,0.13559000000000002,37.8333,17.6947,627.969,44.81399999999999,0.242905,127.435,0.0,343.98699999999997,0.775324,1.0,0.108108,0.25664699999999996,0.101101,2.09457,36.2,17.0,52.4,16.0,,9.5,0.5766319999999999,0.493392,1.26205,0.11,2.35,0,0.0
ZAF,62.5,15.9,0.6990000000000001,4.51,38.5,739.4,13225.0,1.3,8.2,1086.0,6.0,389.0,13.0,25.9,68.1,32.6,2.0,2.0,-0.27,0.3,0.2,-0.01,-0.01,65.9,45.4,67.7,62.5,63.0,50.0,42.0,66.0,69.16,66.52,62.33,77.57,84.43,76.37,38.28,83.35,67.99,48.19,66.55,79.35,75.55,54.4,40.0,4.6,200.24900000000002,43.3,18.936,496.75,84.6973,90.2582,73.1288,4.9189099999999994,84.2,3.92001,19.9513,34.27,0.755871,4.0,40.9683,94.3679,91.6151,102.75399999999999,0.98513,0.780688,147.125,54.0,0.5593199999999999,59.6667,19.2182,472.949,53.621,1.0092,61.0079,87.8,777.878,7.027660000000001,32.0,0.801918,3.65666,0.7780859999999999,3.4384099999999997,9.2,3.0,78.8,43.0,56.852298736572294,6.4,2.15175,2.45004,2.30277,0.11,11.48,13,40.0
ZMB,57.5,25.2,0.588,3.93,33.2,64.9,3880.0,3.6,5.4,203.0,,,,7.5,80.2,25.7,4.0,4.0,0.11,-0.6,-0.5,-0.33,-0.54,40.6,36.3,46.0,72.1,54.3,50.0,18.0,,47.5,,44.33,54.08,46.61,34.94,54.37,,49.15,35.27,63.32,74.94,48.67,42.13,11.6,45.9,173.96400000000003,63.4,40.007,700.311,61.2253,29.4136,31.1118,25.0032,27.2193,2.52094,154.459,5.85,0.5256350000000001,3.0,28.9582,83.0077,87.9074,,,1.0165600000000001,72.4293,25.5066,0.35593,59.0,14.9502,577.821,45.875,0.9833620000000001,84.3167,65.61,902.328,17.0,22.0,0.6506109999999999,3.8360300000000005,0.659759,4.32908,77.2,19.0,67.7,37.0,7.53429985046387,5.6,1.6463599999999998,1.86858,2.50066,0.04,7.75,0,0.0
ZWE,43.2,22.1,0.535,3.64,29.7,28.6,1970.0,1.5,10.3,182.0,7.5,78.0,10.0,5.1,72.0,30.6,6.0,5.0,-0.77,-1.2,-1.6,-1.38,-1.27,33.0,18.9,27.6,61.1,44.0,10.0,32.6,45.26,44.38,55.77,35.64,55.65,46.43,45.6,29.85,77.71,44.02,34.95,66.38,56.0,46.3,25.31,14.95,44.7,370.38,56.4,26.855999999999998,615.316,66.5631,29.3724,38.5886,39.0998,38.1451,3.08986,119.82,6.74,0.243612,5.0,42.0372,88.6934,89.625,47.1138,0.98049,2.77517,79.7439,23.12,0.28814,40.8333,15.4003,610.133,46.669,0.835599,72.6267,75.44,942.595,16.9558,10.0,0.335715,3.8211800000000005,0.464138,3.5168800000000005,74.5,26.0,85.3,22.0,4.51859998703003,7.0,1.54524,0.8093130000000001,0.963094,0.03,10.2,0,0.0
